fcn4_inception3_more_fullnet: 130epoch loss2_4+
fcn4 全BN （1*1 3*3  inception）
5:0.052689872302212996   ;5:0.9805337849416231
10:0.0401668019428205   ;10:0.9839259058909309
15:0.04082974463113045   ;15:0.983510823178112
20:0.03495408069951586   ;20:0.9863513533334086
25:0.03342360639121888   ;25:0.9867961012331167
30:0.03492008294223955   ;30:0.9861626938769692
35:0.03561973431291185   ;35:0.9867390111873025
40:0.03914697301798129   ;40:0.9850448208643978
45:0.03785056350367578   ;45:0.9862148394261984
50:0.03704795146297971   ;50:0.9863570458010623
55:0.036626958004654125   ;55:0.9863020544661615
60:0.038523815478604374   ;60:0.9864216303466854
65:0.03823254189692102   ;65:0.9859665417133417
70:0.03692642194078885   ;70:0.9864487522526791
75:0.03722565157226938   ;75:0.9867923528628242
80:0.038460230565090715   ;80:0.9863717291588173
85:0.03667651595463766   ;85:0.986938158372291
90:0.036803789856087385   ;90:0.9867715293303468
95:0.04612776337373525   ;95:0.9847359841031239
100:0.040334115538367986   ;100:0.9865690796895135
105:0.04055410602193018   ;105:0.9862253298436788
110:0.03775754804316824   ;110:0.987196795922473
115:0.041932617061197254   ;115:0.9863927108900887
120:0.04122788219667159   ;120:0.9867793196126035
125:0.04042027237180872   ;125:0.9868734223502023

fcn8_inception2: 130epoch loss2_4+ 
fcn8 全BN （1*1 3*3  inception）该实验证明 fcn8>fcn4
5:0.09264864341208809   ;5:0.962128045863675
10:0.03634415528057773   ;10:0.9853944182395935
15:0.03392539554121519   ;15:0.9862627915869978
20:0.03366065223323167   ;20:0.9863446090454445
25:0.0343425786490307   ;25:0.9862725331370992
30:0.034046164132598644   ;30:0.9866039963593161
35:0.032511311814300996   ;35:0.9868585879641368
40:0.04284775091503236   ;40:0.9834693141449663
45:0.033594164060764854   ;45:0.987104188230701
50:0.032901251903048864   ;50:0.9875044343166781
55:0.035980183487631996   ;55:0.9865995018105758
60:0.034872330725193024   ;60:0.9862837692848722
65:0.033349224723371346   ;65:0.9869949508430367
70:0.03238912359846378   ;70:0.9880948411790949
75:0.03419136626057719   ;75:0.9872985437400359
80:0.03225117686897852   ;80:0.9882198141929799
85:0.03622148445845911   ;85:0.9876445424287839
90:0.03390136242956203   ;90:0.9875415966923076
95:0.034865066011723386   ;95:0.9872359086696366
100:0.037146372396737   ;100:0.9874659261309114
105:0.034023933205403444   ;105:0.9882665652977792
110:0.035648685407341646   ;110:0.9878768100774378
115:0.03512430024907497   ;115:0.9877883989111822
120:0.03495306348781753   ;120:0.9884529759113053
125:0.036657565268968004   ;125:0.9876375010139063


FCN8: 150epoch loss2_4+
5:0.029935811765323905   ;5:0.98815058182953
10:0.031397180571360865   ;10:0.9874636772879981
15:0.030557578553872786   ;15:0.9879905429101528
20:0.029642087985110237   ;20:0.9882446859115944
25:0.030034974490509445   ;25:0.9885144121664807
30:0.0320249377728853   ;30:0.9880043313019258
35:0.03072722654096446   ;35:0.9883200620350084
40:0.03186585536380684   ;40:0.9877975381406626
45:0.032520768856734765   ;45:0.9881508798527538
50:0.03209480452718899   ;50:0.9882754069521911
55:0.03273469254661603   ;55:0.9881601714550104
60:0.03193924716355181   ;60:0.9884631665129411
65:0.0324576478889142   ;65:0.9883398395731933
70:0.033733247556982746   ;70:0.988220563060359
75:0.03288621310130658   ;75:0.9882132186925501
80:0.03347164676419662   ;80:0.988359018375999
85:0.033674989425213096   ;85:0.9883507781458977
90:0.03456448176192974   ;90:0.9882610220658151
95:0.032962274370904085   ;95:0.9885013780199495
100:0.035273996393609425   ;100:0.9882638705404181
105:0.03527335297925524   ;105:0.9883512307826737
110:0.0339510924904082   ;110:0.9885577205428504
115:0.03319183148923365   ;115:0.9885305977405462
120:0.03419048334576918   ;120:0.9884018772526791
125:0.034635001278825496   ;125:0.9884522252513054
